PREDICT,TRUE,ERROR
630,630,0
610,610,0
1070,1070,0
766,760,-6
690,690,0
560,560,0
580,580,0
1030,1030,0
350,350,0
1060,1060,0
520,520,0
689,690,1
1030,1030,0
760,760,0
440,430,-10
1000,1000,0
1240,1240,0
690,690,0
760,760,0
940,940,0
500,500,0
530,530,0
760,760,0
0,0,0
620,620,0
1360,1360,0
700,700,0
466,470,4
1230,1230,0
994,1000,6
780,780,0
700,700,0
690,690,0
605,610,5
1360,1360,0
610,610,0
620,620,0
1360,1360,0
0,0,0
0,0,0
740,740,0
820,820,0
400,400,0
1240,1240,0
550,550,0
530,530,0
940,940,0
730,730,0
625,620,-5
700,700,0
560,560,0
548,550,2
740,740,0
603,610,7
939,940,1
540,540,0
500,500,0
493,490,-3
700,700,0
832,820,-12
808,810,2
622,620,-2
302,0,-302
749,760,11
560,560,0
900,900,0
520,520,0
766,760,-6
1230,1230,0
740,740,0
500,500,0
782,780,-2
1230,1230,0
886,900,14
620,620,0
620,620,0
540,540,0
1360,1360,0
0,0,0
524,520,-4
1230,1230,0
1360,1360,0
1230,1230,0
400,400,0
740,740,0
252,530,278
530,530,0
508,500,-8
427,430,3
260,260,0
530,530,0
1240,1240,0
500,500,0
500,500,0
620,620,0
430,430,0
890,890,0
534,530,-4
694,730,36
260,260,0
740,740,0
1360,1360,0
1230,1230,0
1240,1240,0
532,520,-12
946,1230,284
620,620,0
688,620,-68
690,690,0
660,660,0
1360,1360,0
560,560,0
438,430,-8
560,560,0
940,940,0
540,540,0
717,620,-97
610,610,0
596,560,-36
760,760,0
560,560,0
1030,1030,0
604,470,-134
545,0,-545
560,560,0
540,540,0
1230,1230,0
500,500,0
530,530,0
1230,1230,0
600,640,40
430,430,0
1107,1230,123
900,900,0
1030,1030,0
530,530,0
530,530,0
594,560,-34
0,0,0
820,820,0
500,500,0
610,610,0
690,690,0
760,760,0
1030,1030,0
1360,1360,0
740,740,0
370,370,0
543,540,-3
430,430,0
1360,1360,0
748,740,-8
617,530,-87
1230,1230,0
560,560,0
1240,1240,0
533,540,7
810,810,0
500,500,0
681,680,-1
811,810,-1
843,820,-23
1240,1240,0
739,730,-9
554,560,6
612,580,-32
661,730,69
530,530,0
945,940,-5
760,760,0
668,670,2
614,630,16
544,560,16
690,690,0
1230,1230,0
800,810,10
1230,1230,0
1230,1230,0
760,760,0
841,860,19
819,910,91
578,550,-28
743,620,-123
471,450,-21
780,780,0
0,0,0
660,660,0
544,530,-14
530,530,0
760,760,0
930,930,0
530,530,0
975,1000,25
1360,1360,0
820,820,0
730,730,0
807,820,13
400,400,0
525,530,5
940,940,0
1360,1360,0
430,430,0
630,630,0
1116,1240,124
900,900,0
1000,1000,0
1360,1360,0
1230,1230,0
260,0,-260
430,430,0
430,430,0
0,0,0
430,430,0
560,560,0
700,700,0
940,940,0
540,540,0
364,370,6
1107,1230,123
124,0,-124
820,820,0
610,610,0
560,560,0
502,500,-2
500,500,0
782,820,38
1360,1360,0
529,530,1
528,530,2
560,560,0
900,900,0
624,620,-4
690,690,0
760,760,0
1360,1360,0
623,630,7
820,820,0
610,610,0
785,780,-5
908,900,-8
580,580,0
445,520,75
660,660,0
900,900,0
655,610,-45
625,620,-5
590,590,0
640,640,0
370,370,0
804,810,6
530,530,0
430,430,0
760,760,0
620,620,0
640,640,0
650,660,10
560,560,0
1230,1230,0
1230,1230,0
560,560,0
760,760,0
550,550,0
850,850,0
868,900,32
640,640,0
940,940,0
1060,1060,0
744,730,-14
580,580,0
1007,1000,-7
700,700,0
890,890,0
1230,1230,0
626,620,-6
620,620,0
260,260,0
620,620,0
560,560,0
560,560,0
580,580,0
406,400,-6
0,0,0
540,540,0
560,560,0
550,550,0
1230,1230,0
670,670,0
700,700,0
530,530,0
940,940,0
1230,1230,0
678,660,-18
0,0,0
730,730,0
690,690,0
760,760,0
466,470,4
530,530,0
560,560,0
715,620,-95
1230,1230,0
430,430,0
1230,1230,0
1240,1240,0
1030,1030,0
474,470,-4
440,430,-10
268,670,402
727,780,53
595,580,-15
804,810,6
533,530,-3
730,730,0
810,810,0
590,590,0
1230,1230,0
690,690,0
540,540,0
1240,1240,0
900,900,0
430,430,0
530,530,0
730,730,0
1030,1030,0
1134,1120,-14
740,740,0
530,530,0
1230,1230,0
560,560,0
560,560,0
940,940,0
760,760,0
806,800,-6
1230,1230,0
1230,1230,0
1230,1230,0
1240,1240,0
610,610,0
940,940,0
1031,990,-41
1230,1230,0
612,580,-32
913,910,-3
730,730,0
827,820,-7
1030,1030,0
640,640,0
1030,1030,0
530,530,0
622,620,-2
748,760,12
370,370,0
520,520,0
1030,1030,0
500,500,0
760,760,0
485,480,-5
560,560,0
560,560,0
1240,1240,0
700,700,0
466,430,-36
480,480,0
620,620,0
430,430,0
740,740,0
740,740,0
610,610,0
590,590,0
793,790,-3
690,690,0
736,760,24
440,430,-10
700,700,0
430,430,0
803,810,7
610,610,0
550,550,0
1030,1030,0
756,760,4
669,670,1
1230,1230,0
542,550,8
730,730,0
760,760,0
430,430,0
1360,1360,0
1240,1240,0
310,310,0
400,400,0
350,350,0
793,790,-3
607,610,3
572,550,-22
480,480,0
430,430,0
504,560,56
534,520,-14
690,690,0
400,400,0
700,700,0
560,560,0
530,530,0
680,680,0
430,430,0
1230,1230,0
820,820,0
576,580,4
438,430,-8
769,780,11
522,520,-2
867,890,23
652,610,-42
740,740,0
640,640,0
620,620,0
403,400,-3
740,740,0
740,740,0
500,500,0
1240,1240,0
1030,1030,0
530,530,0
690,690,0
700,700,0
1230,1230,0
870,870,0
560,560,0
530,530,0
690,690,0
620,620,0
690,690,0
530,530,0
485,430,-55
610,610,0
733,730,-3
740,740,0
500,500,0
546,550,4
820,820,0
766,790,24
744,730,-14
588,760,172
1240,1240,0
530,530,0
1135,1170,35
1240,1240,0
520,520,0
1000,1000,0
0,0,0
860,850,-10
400,400,0
690,690,0
533,530,-3
1230,1230,0
1198,1230,32
1030,1030,0
740,740,0
604,530,-74
900,900,0
850,850,0
661,550,-111
540,540,0
530,530,0
1240,1240,0
730,730,0
784,760,-24
820,820,0
820,820,0
590,590,0
1360,1360,0
569,530,-39
820,820,0
820,820,0
1230,1230,0
441,450,9
774,760,-14
530,530,0
0,0,0
530,530,0
590,590,0
530,530,0
662,680,18
0,0,0
211,0,-211
690,690,0
630,630,0
760,760,0
568,530,-38
603,580,-23
868,930,62
630,630,0
443,430,-13
790,780,-10
640,640,0
610,610,0
1030,1030,0
740,740,0
580,580,0
546,530,-16
700,700,0
670,670,0
740,740,0
520,520,0
1230,1230,0
1240,1240,0
430,430,0
530,530,0
820,820,0
596,560,-36
740,740,0
645,620,-25
700,700,0
1360,1360,0
533,530,-3
1030,1030,0
770,760,-10
430,430,0
740,740,0
740,740,0
740,740,0
690,690,0
680,680,0
620,620,0
740,740,0
1230,1230,0
500,500,0
640,640,0
576,580,4
870,870,0
730,730,0
625,610,-15
684,660,-24
928,940,12
640,640,0
533,530,-3
740,740,0
760,760,0
1360,1360,0
560,560,0
1230,1230,0
610,610,0
1230,1230,0
648,610,-38
900,900,0
1360,1240,-120
696,560,-136
1230,1230,0
640,640,0
0,0,0
370,370,0
500,500,0
260,260,0
930,930,0
534,540,6
580,580,0
520,520,0
1240,1240,0
1030,1030,0
640,640,0
1030,1030,0
862,870,8
540,540,0
506,470,-36
760,760,0
680,680,0
550,550,0
480,480,0
580,580,0
610,610,0
660,660,0
539,540,1
500,500,0
1230,1230,0
520,520,0
430,430,0
690,690,0
626,630,4
820,820,0
850,850,0
780,780,0
598,580,-18
700,700,0
0,0,0
530,530,0
660,660,0
748,740,-8
700,700,0
690,690,0
280,260,-20
1060,1060,0
539,530,-9
1030,1030,0
900,900,0
441,430,-11
560,560,0
620,620,0
690,690,0
760,760,0
700,700,0
940,940,0
740,740,0
1240,1240,0
890,890,0
900,900,0
1240,1240,0
700,700,0
574,580,6
550,550,0
520,520,0
677,690,13
560,560,0
590,590,0
430,430,0
0,0,0
740,740,0
850,850,0
1230,1230,0
1360,1360,0
868,900,32
810,810,0
804,810,6
530,530,0
438,430,-8
771,760,-11
494,500,6
430,430,0
693,680,-13
500,500,0
912,930,18
1230,1230,0
430,430,0
500,500,0
1070,1070,0
373,370,-3
591,560,-31
660,660,0
1017,1030,13
605,690,85
1230,1230,0
1230,1230,0
1230,1230,0
403,400,-3
1030,1030,0
265,260,-5
776,780,4
620,620,0
530,530,0
530,530,0
775,900,125
690,690,0
810,810,0
560,560,0
430,430,0
737,820,83
690,690,0
679,680,1
660,660,0
400,400,0
940,940,0
500,500,0
690,690,0
685,730,45
740,740,0
620,620,0
0,0,0
820,820,0
540,540,0
560,560,0
477,530,53
879,930,51
1060,1060,0
820,820,0
520,520,0
760,760,0
640,640,0
1000,1000,0
530,530,0
1360,1360,0
1230,1230,0
1240,1240,0
540,540,0
500,500,0
700,700,0
822,810,-12
670,670,0
0,0,0
1240,1240,0
539,530,-9
620,620,0
870,870,0
900,900,0
580,580,0
590,590,0
547,540,-7
700,700,0
828,820,-8
500,500,0
540,540,0
400,400,0
557,560,3
529,540,11
568,580,12
760,760,0
629,630,1
530,530,0
1240,1240,0
1360,1360,0
690,690,0
742,760,18
785,730,-55
1230,1230,0
580,580,0
700,700,0
590,590,0
1230,1230,0
0,0,0
400,400,0
820,820,0
1230,1230,0
540,540,0
753,740,-13
620,620,0
0,0,0
530,530,0
1230,1230,0
1360,1360,0
907,890,-17
620,620,0
900,900,0
1107,1230,123
730,730,0
350,350,0
656,630,-26
753,690,-63
786,780,-6
598,620,22
1240,1240,0
480,530,50
690,690,0
599,530,-69
775,800,25
745,780,35
530,530,0
765,760,-5
1070,1070,0
700,700,0
820,820,0
530,530,0
542,540,-2
610,610,0
580,580,0
724,680,-44
740,740,0
610,610,0
400,400,0
619,580,-39
430,430,0
530,530,0
660,660,0
1030,1030,0
1030,1030,0
710,690,-20
1360,1360,0
610,610,0
580,580,0
1360,1360,0
490,490,0
550,550,0
550,550,0
480,480,0
1230,1230,0
1230,1230,0
560,560,0
1240,1240,0
530,530,0
850,850,0
803,810,7
500,500,0
620,620,0
477,530,53
1230,1230,0
760,760,0
620,620,0
560,560,0
1230,1230,0
715,660,-55
620,620,0
940,940,0
550,550,0
560,560,0
900,900,0
624,640,16
610,620,10
580,580,0
740,740,0
540,540,0
690,690,0
730,730,0
530,530,0
530,530,0
928,940,12
570,560,-10
560,560,0
400,400,0
1360,1360,0
804,810,6
550,550,0
530,530,0
616,630,14
760,760,0
810,810,0
1230,1230,0
1240,1240,0
581,690,109
500,500,0
742,740,-2
822,810,-12
430,430,0
650,640,-10
631,620,-11
785,760,-25
580,580,0
740,740,0
700,700,0
820,820,0
610,610,0
690,690,0
560,560,0
580,580,0
539,530,-9
638,640,2
820,820,0
531,540,9
646,660,14
1060,1060,0
534,540,6
549,550,1
820,820,0
637,610,-27
427,430,3
820,820,0
560,500,-60
677,690,13
430,430,0
480,480,0
440,430,-10
480,480,0
182,0,-182
1030,1030,0
768,780,12
586,560,-26
730,730,0
617,620,3
376,370,-6
560,560,0
870,870,0
502,470,-32
729,810,81
530,530,0
940,940,0
560,560,0
640,640,0
1230,1230,0
668,670,2
1240,1240,0
1240,1240,0
735,760,25
560,560,0
1030,1030,0
400,400,0
513,530,17
917,820,-97
1076,1230,154
1230,1230,0
1030,1030,0
430,430,0
530,530,0
430,430,0
578,590,12
1360,1360,0
610,610,0
940,940,0
808,760,-48
760,760,0
530,530,0
760,760,0
620,620,0
820,820,0
580,580,0
540,540,0
1230,1230,0
407,400,-7
544,550,6
1230,1230,0
870,870,0
440,430,-10
900,900,0
500,500,0
900,900,0
745,890,145
530,530,0
430,430,0
1077,1240,163
740,740,0
578,500,-78
797,810,13
310,310,0
387,350,-37
480,480,0
500,500,0
500,500,0
540,540,0
690,690,0
467,430,-37
662,660,-2
640,640,0
480,480,0
810,810,0
590,590,0
610,610,0
1240,1240,0
610,610,0
427,430,3
728,740,12
637,640,3
672,670,-2
760,760,0
1240,1240,0
820,820,0
829,680,-149
530,530,0
610,610,0
1360,1360,0
900,900,0
550,550,0
940,940,0
400,400,0
730,730,0
1230,1230,0
1000,1000,0
945,940,-5
427,430,3
580,580,0
530,530,0
900,900,0
760,760,0
430,430,0
1030,1030,0
548,550,2
629,630,1
900,900,0
640,640,0
820,820,0
1107,1230,123
430,430,0
500,500,0
730,730,0
559,560,1
560,560,0
430,430,0
560,560,0
760,760,0
760,760,0
0,0,0
700,700,0
530,530,0
1230,1230,0
823,820,-3
590,590,0
820,820,0
400,400,0
760,760,0
1240,1240,0
760,760,0
810,810,0
610,610,0
628,620,-8
870,870,0
616,630,14
689,690,1
400,400,0
740,740,0
540,540,0
900,900,0
443,430,-13
530,530,0
938,1070,132
940,940,0
574,580,6
703,690,-13
1129,1170,41
850,930,80
590,590,0
1240,1240,0
1360,1360,0
602,670,68
430,430,0
530,530,0
530,530,0
530,530,0
430,430,0
870,870,0
0,0,0
612,580,-32
550,550,0
760,760,0
580,580,0
430,430,0
900,900,0
580,580,0
1240,1240,0
1240,1240,0
926,940,14
700,700,0
610,610,0
850,850,0
1230,1230,0
1230,1230,0
1058,1060,2
1030,1030,0
430,430,0
760,760,0
400,400,0
644,530,-114
820,820,0
940,940,0
740,740,0
570,560,-10
777,810,33
560,560,0
520,520,0
430,430,0
430,430,0
734,740,6
760,760,0
1230,1230,0
787,780,-7
631,630,-1
900,900,0
760,760,0
690,690,0
620,620,0
500,500,0
1360,1360,0
700,700,0
659,670,11
590,590,0
689,700,11
977,1000,23
910,910,0
740,740,0
1360,1360,0
520,520,0
620,620,0
1360,1360,0
590,590,0
427,430,3
1230,1230,0
1230,1230,0
745,760,15
0,0,0
610,610,0
700,700,0
520,520,0
413,430,17
595,580,-15
1070,1070,0
760,760,0
1232,1230,-2
638,640,2
538,530,-8
1230,1230,0
703,690,-13
740,740,0
601,610,9
700,700,0
725,690,-35
1022,1070,48
820,820,0
535,530,-5
640,640,0
520,520,0
503,480,-23
820,820,0
546,530,-16
1230,1230,0
430,430,0
490,490,0
1230,1230,0
1000,1000,0
820,820,0
610,610,0
394,400,6
639,610,-29
810,810,0
653,660,7
434,430,-4
680,680,0
530,530,0
958,940,-18
683,690,7
1230,1230,0
987,1000,13
766,810,44
1230,1230,0
636,630,-6
740,740,0
550,550,0
660,660,0
520,520,0
890,890,0
1003,820,-183
690,690,0
1360,1360,0
590,590,0
0,0,0
782,780,-2
1030,1030,0
535,530,-5
582,560,-22
780,780,0
560,560,0
670,670,0
530,530,0
684,690,6
1240,1240,0
690,690,0
776,780,4
629,630,1
854,850,-4
549,550,1
740,740,0
768,820,52
1060,1060,0
779,760,-19
1230,1230,0
900,900,0
740,740,0
310,310,0
580,580,0
1280,1280,0
1136,1160,24
1230,1230,0
610,610,0
784,780,-4
900,900,0
700,700,0
530,530,0
610,610,0
870,870,0
681,680,-1
1060,1060,0
669,670,1
1240,1240,0
1240,1240,0
733,740,7
1230,1230,0
287,260,-27
1230,1230,0
560,560,0
530,530,0
850,850,0
799,810,11
864,850,-14
740,740,0
890,890,0
636,730,94
620,620,0
643,660,17
798,750,-48
550,550,0
930,930,0
0,0,0
424,430,6
530,530,0
1230,1230,0
741,760,19
690,690,0
1230,1230,0
320,0,-320
679,700,21
559,560,1
824,860,36
430,430,0
900,900,0
53,0,-53
530,530,0
693,680,-13
930,930,0
816,820,4
500,500,0
900,900,0
800,820,20
530,530,0
500,500,0
481,430,-51
580,560,-20
700,700,0
400,400,0
430,430,0
520,520,0
772,780,8
1230,1230,0
1230,1230,0
610,610,0
1030,1030,0
480,480,0
820,820,0
781,780,-1
625,610,-15
644,690,46
620,620,0
1240,1240,0
1116,1240,124
485,480,-5
681,690,9
433,400,-33
1030,1030,0
655,680,25
670,730,60
1240,1240,0
771,760,-11
1360,1360,0
211,0,-211
760,760,0
820,820,0
1230,1230,0
591,580,-11
780,790,10
500,500,0
1008,1030,22
590,590,0
700,700,0
760,760,0
620,620,0
520,520,0
740,740,0
621,620,-1
610,610,0
1230,1230,0
486,500,14
700,700,0
1030,1030,0
760,760,0
520,520,0
677,690,13
540,540,0
940,940,0
820,820,0
525,530,5
0,0,0
500,500,0
536,560,24
554,560,6
430,430,0
1230,1230,0
900,900,0
530,530,0
560,560,0
1230,1230,0
700,700,0
469,530,61
670,690,20
850,850,0
520,520,0
740,740,0
1230,1230,0
460,470,10
1000,1000,0
800,800,0
550,550,0
700,700,0
430,430,0
779,1230,451
533,530,-3
1030,1030,0
1240,1240,0
1280,1280,0
890,890,0
0,0,0
1230,1230,0
740,740,0
430,430,0
529,530,1
934,940,6
427,430,3
690,690,0
1240,1240,0
430,430,0
1070,1070,0
928,940,12
530,530,0
729,690,-39
620,620,0
703,690,-13
1230,1230,0
560,560,0
760,760,0
1230,1230,0
820,820,0
1230,1230,0
400,400,0
400,400,0
621,530,-91
550,550,0
620,620,0
610,610,0
670,670,0
0,0,0
733,730,-3
540,540,0
1240,1240,0
557,560,3
900,900,0
0,0,0
560,560,0
668,690,22
370,370,0
794,820,26
620,630,10
580,580,0
1094,1060,-34
530,530,0
620,620,0
430,430,0
1280,1280,0
571,560,-11
530,530,0
868,900,32
820,820,0
930,930,0
790,800,10
1030,1030,0
1030,1030,0
640,640,0
1230,1230,0
620,620,0
618,620,2
480,480,0
500,500,0
964,890,-74
430,430,0
940,940,0
1014,1030,16
662,660,-2
1030,1030,0
442,0,-442
1230,1230,0
730,730,0
690,690,0
480,480,0
790,820,30
590,590,0
610,610,0
480,480,0
690,690,0
635,620,-15
609,620,11
1030,1030,0
124,0,-124
520,520,0
603,580,-23
760,760,0
820,820,0
610,610,0
470,430,-40
1230,1230,0
350,350,0
709,700,-9
1240,1240,0
900,900,0
730,730,0
0,0,0
370,370,0
485,480,-5
573,530,-43
579,580,1
1231,1230,-1
580,580,0
530,530,0
548,550,2
760,760,0
520,520,0
620,620,0
680,680,0
880,820,-60
590,590,0
939,1230,291
1047,1060,13
900,900,0
828,820,-8
930,930,0
998,550,-448
610,610,0
530,530,0
680,680,0
620,620,0
697,690,-7
940,940,0
940,940,0
430,430,0
1051,930,-121
530,530,0
730,730,0
820,820,0
881,900,19
1230,1230,0
946,940,-6
707,700,-7
782,780,-2
612,580,-32
500,500,0
560,560,0
680,680,0
530,530,0
690,690,0
820,820,0
504,500,-4
810,810,0
530,530,0
530,530,0
560,560,0
522,530,8
0,0,0
620,620,0
530,530,0
560,560,0
814,820,6
580,580,0
560,560,0
660,660,0
850,850,0
1240,1240,0
500,500,0
640,640,0
580,580,0
730,730,0
550,550,0
740,740,0
1230,1230,0
1060,1060,0
545,540,-5
730,730,0
557,560,3
620,620,0
530,530,0
530,530,0
740,740,0
430,430,0
700,700,0
1230,1230,0
500,500,0
607,590,-17
690,690,0
782,780,-2
760,760,0
430,430,0
760,760,0
550,550,0
1360,1360,0
690,690,0
610,610,0
700,700,0
700,700,0
590,590,0
1230,1230,0
554,560,6
700,700,0
585,530,-55
730,730,0
580,580,0
820,820,0
1230,1230,0
67,0,-67
630,630,0
820,820,0
640,640,0
370,370,0
690,690,0
560,560,0
430,430,0
900,900,0
430,430,0
930,930,0
850,850,0
700,700,0
530,530,0
485,430,-55
363,0,-363
1116,1240,124
740,740,0
676,670,-6
430,430,0
850,850,0
766,740,-26
1230,1230,0
1360,1360,0
744,740,-4
740,740,0
500,500,0
0,0,0
940,940,0
820,690,-130
490,530,40
758,760,2
662,660,-2
1070,1070,0
784,760,-24
660,660,0
820,820,0
850,850,0
510,530,20
500,500,0
560,560,0
540,540,0
560,560,0
780,780,0
820,820,0
930,930,0
820,820,0
760,760,0
780,780,0
638,640,2
500,500,0
760,760,0
530,530,0
869,900,31
690,690,0
1030,1030,0
700,700,0
635,640,5
900,900,0
610,610,0
1060,1060,0
850,850,0
540,540,0
590,590,0
1240,1240,0
430,430,0
760,760,0
500,500,0
965,1030,65
685,690,5
658,660,2
1070,1070,0
617,620,3
430,430,0
0,0,0
265,260,-5
938,940,2
520,520,0
928,940,12
841,820,-21
1230,1230,0
757,760,3
261,0,-261
791,780,-11
560,560,0
780,780,0
745,760,15
1230,1230,0
930,930,0
438,430,-8
620,620,0
490,490,0
645,640,-5
740,740,0
1240,1240,0
700,700,0
530,530,0
477,530,53
350,350,0
0,0,0
560,560,0
560,560,0
1360,1360,0
615,580,-35
1230,1230,0
900,900,0
689,700,11
550,550,0
266,260,-6
560,560,0
430,430,0
430,430,0
1240,1240,0
721,740,19
580,580,0
1360,1360,0
656,660,4
1360,1360,0
1360,1360,0
1230,1230,0
700,700,0
430,430,0
580,580,0
1000,1000,0
370,370,0
610,610,0
1230,1230,0
559,560,1
1077,1060,-17
509,530,21
1134,1130,-4
730,760,30
1230,1230,0
620,620,0
1230,1230,0
640,640,0
430,430,0
700,700,0
870,870,0
622,620,-2
900,900,0
748,760,12
905,890,-15
1240,1240,0
430,430,0
660,660,0
900,900,0
850,850,0
740,740,0
1008,1030,22
540,540,0
430,430,0
766,760,-6
669,670,1
820,820,0
364,370,6
560,560,0
533,530,-3
690,690,0
1240,1240,0
1239,1240,1
760,760,0
560,560,0
910,940,30
1230,1230,0
569,530,-39
559,560,1
1240,1240,0
644,580,-64
540,540,0
820,820,0
810,810,0
1230,1230,0
530,530,0
940,940,0
740,740,0
141,0,-141
520,520,0
1030,1030,0
549,610,61
1240,1240,0
714,690,-24
700,700,0
788,790,2
430,430,0
814,820,6
480,480,0
441,400,-41
1231,1230,-1
430,430,0
760,760,0
620,620,0
620,620,0
660,660,0
0,0,0
890,890,0
1240,1240,0
820,820,0
640,640,0
690,690,0
1230,1230,0
688,690,2
828,870,42
520,520,0
580,580,0
760,760,0
1240,1240,0
662,520,-142
560,560,0
1360,1360,0
875,930,55
500,500,0
888,580,-308
611,620,9
763,730,-33
740,740,0
744,740,-4
588,530,-58
900,900,0
337,260,-77
940,940,0
1360,1360,0
580,580,0
1360,1360,0
430,430,0
730,730,0
900,900,0
760,760,0
1360,1360,0
430,430,0
733,730,-3
690,690,0
1230,1230,0
740,740,0
620,620,0
810,810,0
1230,1230,0
1180,1180,0
0,0,0
578,580,2
1000,1000,0
430,430,0
699,690,-9
640,640,0
1240,1240,0
855,890,35
533,530,-3
940,940,0
530,530,0
952,1240,288
464,430,-34
1030,1030,0
690,690,0
520,520,0
640,640,0
748,760,12
610,610,0
560,560,0
1070,1070,0
1030,1030,0
888,900,12
580,580,0
611,620,9
640,640,0
336,560,224
939,940,1
730,730,0
872,870,-2
550,550,0
783,780,-3
690,690,0
1360,1360,0
837,810,-27
1230,1230,0
784,780,-4
520,520,0
626,690,64
647,660,13
500,500,0
1230,1230,0
1076,1070,-6
1230,1230,0
430,430,0
740,740,0
900,900,0
807,810,3
560,560,0
540,540,0
640,640,0
424,430,6
610,610,0
1230,1230,0
595,810,215
760,760,0
622,620,-2
1230,1230,0
1030,1030,0
730,730,0
500,500,0
772,780,8
1030,1030,0
559,560,1
520,520,0
430,430,0
1030,1030,0
820,820,0
427,430,3
1060,1060,0
740,740,0
1230,1230,0
1230,1230,0
1230,1230,0
530,530,0
690,690,0
908,890,-18
687,690,3
1030,1030,0
370,370,0
844,810,-34
550,550,0
603,580,-23
530,530,0
637,580,-57
1030,1030,0
1230,1230,0
788,790,2
820,820,0
1360,1360,0
1240,1240,0
730,730,0
560,560,0
530,530,0
910,910,0
1030,1030,0
473,470,-3
1000,1000,0
610,610,0
747,730,-17
1230,1230,0
620,620,0
430,430,0
1060,1060,0
500,500,0
700,700,0
530,530,0
760,760,0
430,430,0
820,820,0
820,820,0
757,760,3
760,760,0
550,550,0
930,930,0
768,810,42
610,610,0
1030,1030,0
610,610,0
973,1060,87
560,560,0
500,500,0
900,900,0
590,590,0
610,610,0
637,610,-27
530,530,0
700,700,0
730,730,0
480,480,0
890,890,0
530,530,0
760,760,0
1240,1240,0
1030,1030,0
560,560,0
730,730,0
530,530,0
740,740,0
590,560,-30
890,890,0
742,740,-2
500,500,0
624,640,16
775,740,-35
430,430,0
350,350,0
1230,1230,0
1000,1000,0
805,810,5
1070,1070,0
430,430,0
1030,1030,0
620,620,0
500,500,0
1230,1230,0
713,690,-23
540,530,-10
1030,1030,0
1230,1230,0
470,470,0
900,900,0
1060,1060,0
783,900,117
1000,1000,0
430,430,0
990,930,-60
430,430,0
480,480,0
0,0,0
820,820,0
1230,1230,0
610,610,0
774,760,-14
752,760,8
900,900,0
621,620,-1
525,530,5
590,590,0
700,700,0
610,610,0
763,760,-3
760,760,0
400,400,0
1030,1030,0
663,660,-3
661,660,-1
560,560,0
1230,1230,0
530,530,0
700,700,0
430,430,0
700,700,0
536,530,-6
520,520,0
900,900,0
939,940,1
430,430,0
403,400,-3
971,940,-31
742,740,-2
609,640,31
1030,1030,0
430,430,0
520,520,0
550,550,0
1360,1360,0
1070,1070,0
660,660,0
1230,1230,0
400,400,0
690,690,0
1240,1240,0
430,430,0
810,810,0
700,700,0
670,670,0
480,480,0
900,900,0
427,430,3
500,500,0
560,560,0
610,580,-30
1035,1060,25
0,0,0
940,940,0
590,590,0
749,740,-9
700,700,0
620,620,0
740,740,0
1240,1240,0
1030,1030,0
500,500,0
768,750,-18
590,590,0
820,820,0
430,430,0
1030,1030,0
580,580,0
708,690,-18
520,520,0
620,620,0
427,610,183
740,740,0
430,430,0
560,560,0
1230,1230,0
850,850,0
500,500,0
622,620,-2
293,0,-293
820,820,0
690,690,0
810,810,0
1230,1230,0
1030,1030,0
